model,scenario,episode,service_rate,net_profit,total_cost,revenue,total_served,total_demand
PPO-Day8-CostAware,winter_low,1,0.9935001854053398,110824.3716496835,152.3214337581303,110976.69308344163,2338879.259977728,2354181.0
PPO-Day8-CostAware,winter_low,2,0.9871606623096947,109361.85638932325,152.21006487798877,109514.06645420124,2328100.9499386,2358381.0
PPO-Day8-CostAware,winter_low,3,0.9833190994217874,110376.83440770864,152.38782702106982,110529.2222347297,2324992.128203155,2364433.0
PPO-Day8-CostAware,winter_low,4,0.9808872705686735,109501.81080451126,153.73144161363598,109655.5422461249,2297262.5098535977,2342025.0
PPO-Day8-CostAware,winter_low,5,0.9783281825312036,110919.87896983903,152.25479275587713,111072.13376259491,2321088.504696193,2372505.0
PPO-Day8-CostAware,winter_low,6,0.9834016398531124,109423.6743789066,152.41754768765531,109576.09192659425,2304434.564716994,2343330.0
PPO-Day8-CostAware,winter_low,7,0.9880184892181891,110068.6951398341,153.1829634248279,110221.87810325893,2341352.862750847,2369746.0
PPO-Day8-CostAware,winter_low,8,0.9789992692036261,108940.41523061472,150.5451325168833,109090.9603631316,2303841.7782446635,2353262.0
PPO-Day8-CostAware,winter_low,9,0.9799362384151814,107813.19945436767,148.6349712065421,107961.83442557421,2304346.5229117363,2351527.0
PPO-Day8-CostAware,winter_low,10,0.9852401041743891,109157.9451479339,150.62323738238774,109308.56838531629,2316343.820718677,2351045.0
PPO-Day8-Tuned,default,1,0.9730862038983389,127237.94068148425,525.3259283966618,127763.26660988091,2686830.1602904713,2761143.0
PPO-Day8-Tuned,default,2,0.9756402339159581,126428.2782674317,542.2852755670901,126970.56354299879,2681882.803158478,2748844.0
PPO-Day8-Tuned,default,3,0.9733972576795941,124918.31395604061,578.2190989134251,125496.53305495404,2667696.417985726,2740604.0
PPO-Day8-Tuned,default,4,0.9864094071596738,127275.12835482425,534.6565202632919,127809.78487508754,2721563.7253273767,2759061.0
PPO-Day8-Tuned,default,5,0.9709585720851447,125997.36717798309,567.6036776292603,126564.97085561235,2684983.000759902,2765291.0
PPO-Day8-Tuned,default,6,0.9858415960132976,128694.72323590177,510.28952419711277,129205.01276009888,2700913.1781224194,2739703.0
PPO-Day8-Tuned,default,7,0.9802591947851393,129096.02191484734,553.599151016213,129649.62106586355,2739914.6332703847,2795092.0
PPO-Day8-Tuned,default,8,0.982450031976096,127388.7100411975,554.2674584744964,127942.977499672,2693130.3432041216,2741239.0
PPO-Day8-Tuned,default,9,0.9759763855600925,125857.92142249647,540.5634504731279,126398.4848729696,2660748.789298503,2726243.0
PPO-Day8-Tuned,default,10,0.9796619159431778,126414.98491326332,521.1259141905466,126936.11082745387,2688666.453715396,2744484.0
PPO-Day8-Tuned,sunny_weekday,1,0.9730862038983389,127237.94068148425,525.3259283966618,127763.26660988091,2686830.1602904713,2761143.0
PPO-Day8-Tuned,sunny_weekday,2,0.9756402339159581,126428.2782674317,542.2852755670901,126970.56354299879,2681882.803158478,2748844.0
PPO-Day8-Tuned,sunny_weekday,3,0.9733972576795941,124918.31395604061,578.2190989134251,125496.53305495404,2667696.417985726,2740604.0
PPO-Day8-Tuned,sunny_weekday,4,0.9864094071596738,127275.12835482425,534.6565202632919,127809.78487508754,2721563.7253273767,2759061.0
