model,scenario,episode,service_rate,net_profit,total_cost,revenue,total_served,total_demand
PPO-Day7-Original,default,1,0.9993233175355448,130100.24892157684,2313.3814574719872,132413.63037904882,2759274.5829500468,2761143.0
PPO-Day7-Original,default,2,0.9967195308160685,128660.95553792352,2477.350008117035,131138.30554604056,2739826.5019665645,2748844.0
PPO-Day7-Original,default,3,0.9967314272421768,129205.0256916636,2294.159170224797,131499.1848618884,2731646.136425619,2740604.0
PPO-Day7-Original,default,4,0.9995913748823356,129018.40661860153,2317.7827439229004,131336.18936252443,2757933.578374232,2759061.0
PPO-Day7-Original,default,5,0.9998301891779344,130108.53752066096,2200.423866254743,132308.9613869157,2764821.42366204,2765291.0
PPO-Day7-Original,default,6,0.9990591786444252,129471.73597421825,2348.197918224265,131819.9338924425,2737125.428909668,2739703.0
PPO-Day7-Original,default,7,0.9995165254609212,131664.87820987863,2091.358141978504,133756.23635185714,2793740.644183617,2795092.0
PPO-Day7-Original,default,8,0.999774914343548,129034.76974134096,2226.548520517652,131261.3182618586,2740621.9864201937,2741239.0
PPO-Day7-Original,default,9,0.99715653241296,128681.4401646589,1808.9213265101423,130490.36149116904,2718491.016395105,2726243.0
PPO-Day7-Original,default,10,0.9999018938902544,128968.42451156276,2131.857356115477,131100.28186767825,2744214.749351501,2744484.0
PPO-Day7-Original,sunny_weekday,1,0.9993233175355448,130100.24892157684,2313.3814574719872,132413.63037904882,2759274.5829500468,2761143.0
PPO-Day7-Original,sunny_weekday,2,0.9967195308160685,128660.95553792352,2477.350008117035,131138.30554604056,2739826.5019665645,2748844.0
PPO-Day7-Original,sunny_weekday,3,0.9967314272421768,129205.0256916636,2294.159170224797,131499.1848618884,2731646.136425619,2740604.0
PPO-Day7-Original,sunny_weekday,4,0.9995913748823356,129018.40661860153,2317.7827439229004,131336.18936252443,2757933.578374232,2759061.0
PPO-Day7-Original,sunny_weekday,5,0.9998301891779344,130108.53752066096,2200.423866254743,132308.9613869157,2764821.42366204,2765291.0
PPO-Day7-Original,sunny_weekday,6,0.9990591786444252,129471.73597421825,2348.197918224265,131819.9338924425,2737125.428909668,2739703.0
PPO-Day7-Original,sunny_weekday,7,0.9995165254609212,131664.87820987863,2091.358141978504,133756.23635185714,2793740.644183617,2795092.0
PPO-Day7-Original,sunny_weekday,8,0.999774914343548,129034.76974134096,2226.548520517652,131261.3182618586,2740621.9864201937,2741239.0
PPO-Day7-Original,sunny_weekday,9,0.99715653241296,128681.4401646589,1808.9213265101423,130490.36149116904,2718491.016395105,2726243.0
PPO-Day7-Original,sunny_weekday,10,0.9999018938902544,128968.42451156276,2131.857356115477,131100.28186767825,2744214.749351501,2744484.0
PPO-Day7-Original,rainy_weekend,1,0.994189375892704,114287.44654903158,2190.143602022901,116477.59015105448,2432531.8612760976,2446749.0
PPO-Day7-Original,rainy_weekend,2,0.9977869367813538,115682.58871708647,2218.544041434303,117901.1327585208,2455910.8591422797,2461358.0
PPO-Day7-Original,rainy_weekend,3,0.9978677877058936,115550.6696646598,2445.986001082696,117996.65566574252,2457854.1351051126,2463106.0
PPO-Day7-Original,rainy_weekend,4,0.9925579180797092,114809.0440855511,2096.271180863958,116905.31526641504,2453348.0861080945,2471743.0
