episode,step,hour,day,action,rebalance_cost,num_moves,total_demand,total_served,unmet_demand,reward,inventory_zone_0,inventory_zone_1,inventory_zone_2,inventory_zone_3,inventory_zone_4,inventory_zone_5
1,0,0,0,"[[0.11016111075878143, 0.4286337196826935, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.05142296850681305, 0.0, 0.17593169212341309, 0.0, 0.0, 0.0], [0.9378330707550049, 0.23277440667152405, 0.2243841141462326, 0.0, 0.0, 0.19819532334804535], [1.2791696786880493, 1.6456949710845947, 0.8195684552192688, 0.0, 0.0, 0.33858340978622437], [1.5897295475006104, 0.8975830674171448, 0.0193621888756752, 0.2838646173477173, 0.0, 0.13408347964286804]]",15.85855533182621,17,141.0,141.0,0,0.5481414446681738,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1,0,"[[0.1421542763710022, 0.37388476729393005, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.08631584793329239, 0.0, 0.1534162312746048, 0.0, 0.0, 0.06890495121479034], [0.8649596571922302, 0.22781777381896973, 0.17326495051383972, 0.006334379315376282, 0.0, 0.14482636749744415], [1.2687016725540161, 1.6989585161209106, 0.7954622507095337, 0.0, 0.0, 0.3599404990673065], [1.502949595451355, 0.9860216975212097, 0.0011797621846199036, 0.37205177545547485, 0.0, 0.0]]",15.84591081738472,18,272.0,272.0,0,0.5081540891826153,0.97110957,1.0,1.0,0.9233308,1.0,1.0
1,2,2,0,"[[0.13917599618434906, 0.3985104262828827, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.04646064341068268, 0.0, 0.13860104978084564, 0.0, 0.0, 0.07277514785528183], [0.8617221117019653, 0.24936066567897797, 0.21215251088142395, 0.0, 0.0, 0.18315544724464417], [1.2524347305297852, 1.5967798233032227, 0.7554999589920044, 0.0, 0.0, 0.2717908024787903], [1.4873253107070923, 0.9439983367919922, 0.01854667067527771, 0.30194687843322754, 0.0, 0.0620800256729126]]",15.344800643622875,18,391.0,391.0,0,0.4606551993563771,0.96480125,1.0,0.9654238,0.9553358,0.9660191,0.9681475
1,3,3,0,"[[0.2400825172662735, 0.3820742070674896, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.10721256583929062, 0.0, 0.0, 0.0], [0.9466769695281982, 0.20106710493564606, 0.29989179968833923, 0.0, 0.0, 0.2441447526216507], [1.2174094915390015, 1.6090787649154663, 0.7883836627006531, 0.0, 0.0, 0.3137834668159485], [1.4804179668426514, 0.9561443328857422, 0.07304452359676361, 0.2928072512149811, 0.0, 0.2273247241973877]]",15.661426357924938,16,530.0,530.0,0,0.540338573642075,0.99342406,0.96917355,0.8753901,0.99459964,0.9881584,0.987814
1,4,4,0,"[[0.21587376296520233, 0.3656404912471771, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.02369396947324276, 0.0, 0.07079895585775375, 0.0, 0.0, 0.0], [0.9568837881088257, 0.24250389635562897, 0.277278870344162, 0.0, 0.0, 0.21949243545532227], [1.2076506614685059, 1.5829240083694458, 0.7913766503334045, 0.0, 0.0, 0.2520618438720703], [1.4734114408493042, 1.0029371976852417, 0.09607542306184769, 0.30822300910949707, 0.0, 0.24367189407348633]]",15.662040416151285,17,657.0,657.0,0,0.49233795958384874,0.9742582,0.96454096,0.87954,1.0,0.97047466,0.9981281
1,5,5,0,"[[0.29139024019241333, 0.4250270426273346, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0948665589094162, 0.0, 0.0, 0.019234448671340942], [0.7899935245513916, 0.20933862030506134, 0.33955588936805725, 0.011173304170370102, 0.0, 0.247664675116539], [1.2079248428344727, 1.5391589403152466, 0.6476713418960571, 0.0, 0.0, 0.197393000125885], [1.315429449081421, 0.901127815246582, 0.0, 0.23864613473415375, 0.0, 0.13486115634441376]]",14.119607672095299,17,795.0,795.0,0,0.5378803923279047,1.0,0.9884587,0.8554098,0.969588,0.96163744,0.89293087
1,6,6,0,"[[0.2578066289424896, 0.4171546995639801, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.07138372957706451, 0.0, 0.0, 0.0], [0.8197747468948364, 0.24091707170009613, 0.29697975516319275, 0.0, 0.0, 0.19340038299560547], [1.1890798807144165, 1.583304762840271, 0.6948644518852234, 0.0, 0.0, 0.16080990433692932], [1.3326685428619385, 0.9655083417892456, 0.0, 0.2888874411582947, 0.0, 0.13223868608474731]]",14.299208492040634,15,958.0,958.0,0,0.6377007915079593,0.9739278,0.96405405,0.8794985,0.9750485,0.97134113,0.9194116
1,7,7,0,"[[0.1448371410369873, 0.5381283760070801, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.07373031228780746, 0.0, 0.17955182492733002, 0.0, 0.0, 0.24857260286808014], [0.6874394416809082, 0.25122079253196716, 0.1966177076101303, 0.0002606436610221863, 0.0, 0.10462720692157745], [1.1593701839447021, 1.6643415689468384, 0.7059279680252075, 0.0, 0.0, 0.06572140753269196], [1.3289623260498047, 0.9115500450134277, 0.0, 0.3007427453994751, 0.0, 0.0]]",14.681692473590374,17,1149.0,1149.0,0,0.7493183075264096,0.89415973,0.97368044,1.0,0.94486654,1.0,0.8576677
1,8,8,0,"[[0.16004632413387299, 0.6151814460754395, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.01421157456934452, 0.0, 0.19850406050682068, 0.0, 0.0, 0.29023033380508423], [0.6173573732376099, 0.24431414902210236, 0.24646571278572083, 0.010078486055135727, 0.0, 0.11590148508548737], [1.1364716291427612, 1.6244534254074097, 0.6388599872589111, 0.0, 0.0, 0.0], [1.2633558511734009, 0.8113152384757996, 0.0, 0.2240760624408722, 0.0, 0.0]]",13.946456115692854,16,1435.0,1435.0,0,1.1300535438843071,0.90724945,0.95796204,0.99193543,0.9684791,1.0,0.791878
1,9,9,0,"[[0.11397871375083923, 0.7120010256767273, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.016623245552182198, 0.0, 0.3019709885120392, 0.0, 0.0, 0.38298845291137695], [0.5911871194839478, 0.20771388709545135, 0.23952439427375793, 0.0, 0.0, 0.17037557065486908], [1.0668140649795532, 1.5801160335540771, 0.676829993724823, 0.0, 0.0, 0.0], [1.307462215423584, 0.7339293956756592, 0.0, 0.1615314781665802, 0.0, 0.0]]",14.187194745987654,15,1646.0,1646.0,0,0.8298128052540124,0.8241608,0.9796793,1.0,0.98097175,1.0,0.7472138
1,10,10,0,"[[0.0632152110338211, 0.7601585388183594, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0053980182856321335, 0.0, 0.307513564825058, 0.0, 0.0, 0.4723365902900696], [0.5409325361251831, 0.24495084583759308, 0.2416866421699524, 0.0, 0.0, 0.18344704806804657], [1.0334266424179077, 1.4523452520370483, 0.6208634972572327, 0.0, 0.0, 0.0], [1.2796168327331543, 0.6682964563369751, 0.0, 0.08218196034431458, 0.0, 0.0]]",13.805948320776224,15,1831.0,1831.0,0,0.7261940516792238,0.79411054,0.98284864,1.0,1.0,0.959208,0.7009954
1,11,11,0,"[[0.239198237657547, 0.5168415904045105, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.07094263285398483, 0.0, 0.15016868710517883, 0.0, 0.0, 0.2572494149208069], [0.6351503133773804, 0.22055090963840485, 0.20590931177139282, 0.0, 0.0, 0.1236484944820404], [1.0578721761703491, 1.6521856784820557, 0.6999778151512146, 0.0, 0.0, 0.0], [1.1950349807739258, 1.0103890895843506, 0.0, 0.353004515171051, 0.0, 0.0]]",14.283431276679039,15,2052.0,2052.0,0,0.8697165687233209,0.82227874,0.9804962,0.9286009,0.90984493,0.9976787,0.8355064
1,12,12,0,"[[0.12832801043987274, 0.755727231502533, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.026769114658236504, 0.0, 0.29957351088523865, 0.0, 0.0, 0.4015895128250122], [0.5718958377838135, 0.21232950687408447, 0.25075843930244446, 0.0, 0.0, 0.18460461497306824], [0.9922879934310913, 1.5467383861541748, 0.6872158646583557, 0.0, 0.0, 0.0], [1.2554724216461182, 0.7542186975479126, 0.0, 0.15062667429447174, 0.0, 0.0]]",14.143988374620676,15,2297.0,2297.0,0,0.9658560116253794,0.7732273,0.98460054,0.9788956,1.0,1.0,0.72154456
1,13,13,0,"[[0.1266542226076126, 0.7996975779533386, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3284240663051605, 0.0, 0.0, 0.6074619889259338], [0.3813924193382263, 0.2085690051317215, 0.23341047763824463, 0.0, 0.0, 0.15481579303741455], [0.9640735387802124, 1.4840482473373413, 0.5551188588142395, 0.0, 0.0, 0.0], [1.1033374071121216, 0.6731252670288086, 0.0, 0.11179356276988983, 0.10811293870210648, 0.0]]",13.568087942898273,15,2498.0,2498.0,0,0.7904319120571017,0.7511369,1.0,1.0,0.9474983,0.98110914,0.6322513
1,14,14,0,"[[0.0, 0.6429772973060608, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.14038290083408356, 0.0, 0.06612659990787506, 0.0, 0.15379226207733154, 0.5868561863899231], [0.4758320450782776, 0.48809587955474854, 0.13624627888202667, 0.0, 0.0, 0.03547940403223038], [0.987617552280426, 1.1690776348114014, 0.4716557264328003, 0.0, 0.0, 0.0], [1.1060234308242798, 0.8283713459968567, 0.0, 0.102230966091156, 0.17999830842018127, 0.0]]",13.773354228585958,16,2725.0,2725.0,0,0.8942266457714141,0.7496893,0.9487766,1.0,1.0,0.82655615,0.7099928
