episode,step,hour,day,action,rebalance_cost,num_moves,total_demand,total_served,unmet_demand,reward,inventory_zone_0,inventory_zone_1,inventory_zone_2,inventory_zone_3,inventory_zone_4,inventory_zone_5
1,0,0,0,"[[0.054229721426963806, 0.0, 0.01750217005610466, 0.0, 0.022823970764875412, 0.019330861046910286], [0.04721059277653694, 0.005592414643615484, 0.06721171736717224, 0.044863078743219376, 0.14209312200546265, 0.0], [0.0, 0.0, 0.0, 0.06971638649702072, 0.026544570922851562, 0.0], [0.0, 0.10144609957933426, 0.0, 0.08484119921922684, 0.0, 0.007059433497488499], [0.06952998042106628, 0.08769221603870392, 0.0, 0.1259760856628418, 0.0, 0.029568258672952652], [0.0, 0.043139614164829254, 0.0, 0.03465103730559349, 0.12693186104297638, 0.0]]",1.699133271817118,21,145.0,145.0,0,0.5783008667281829,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1,0,"[[0.05415675789117813, 0.0, 0.017099633812904358, 0.0, 0.022904634475708008, 0.01943652704358101], [0.04743417724967003, 0.005840140860527754, 0.06656630337238312, 0.04469289258122444, 0.1421050727367401, 0.0], [0.0, 0.0, 0.0, 0.06921207904815674, 0.026971284300088882, 0.0], [0.0, 0.10178329050540924, 0.0, 0.08470820635557175, 0.0, 0.007350721396505833], [0.06938087940216064, 0.08741551637649536, 0.0, 0.12561829388141632, 0.0, 0.02930259145796299], [0.0, 0.043200887739658356, 0.0, 0.034271080046892166, 0.12686485052108765, 0.0]]",1.6960402145050466,21,297.0,297.0,0,0.606303959785495,0.98302585,0.96695644,1.0,1.0,0.9132692,1.0
1,2,2,0,"[[0.05473744869232178, 0.0, 0.017302807420492172, 0.0, 0.022838879376649857, 0.019746258854866028], [0.04750731214880943, 0.005457883235067129, 0.06670234352350235, 0.045107558369636536, 0.14267918467521667, 0.0], [0.0, 0.0, 0.0, 0.06917648017406464, 0.027098339051008224, 0.0], [0.0, 0.10246975719928741, 0.0, 0.08550284057855606, 0.0, 0.007490239571779966], [0.06971029192209244, 0.08748671412467957, 0.0, 0.12596656382083893, 0.0, 0.029515711590647697], [0.0, 0.04386449605226517, 0.0, 0.0345834419131279, 0.12740157544612885, 0.0]]",1.704102884279564,21,438.0,438.0,0,0.5622958971157205,0.9387909,0.96711266,0.97280866,1.0,0.91682404,1.0
1,3,3,0,"[[0.054868876934051514, 0.0, 0.017147110775113106, 0.0, 0.022851374000310898, 0.019839836284518242], [0.04776885360479355, 0.005488560535013676, 0.06652189791202545, 0.045204613357782364, 0.143032044172287, 0.0], [0.0, 0.0, 0.0, 0.06908223032951355, 0.02747087925672531, 0.0], [0.0, 0.10305284708738327, 0.0, 0.0857548788189888, 0.0, 0.007661907467991114], [0.06994280219078064, 0.0876106321811676, 0.0, 0.12628404796123505, 0.0, 0.029583662748336792], [0.0, 0.04400133714079857, 0.0, 0.03432416543364525, 0.1277368813753128, 0.0]]",1.7076160672586411,21,552.0,552.0,0,0.45429238393274135,0.91737616,0.9381248,1.0,1.0,0.8786192,1.0
1,4,4,0,"[[0.054814621806144714, 0.0, 0.01712707243859768, 0.0, 0.023096513003110886, 0.019860269501805305], [0.04753484949469566, 0.0053464570082724094, 0.066324383020401, 0.04521166533231735, 0.14309780299663544, 0.0], [0.0, 0.0, 0.0, 0.06891483068466187, 0.027568820863962173, 0.0], [0.0, 0.10327444225549698, 0.0, 0.08603806048631668, 0.0, 0.007861183024942875], [0.06991193443536758, 0.08721296489238739, 0.0, 0.12624821066856384, 0.0, 0.029632996767759323], [0.0, 0.04390899837017059, 0.0, 0.034112319350242615, 0.12755514681339264, 0.0]]",1.706133218947798,21,677.0,677.0,0,0.4982938667810522,0.9334748,0.9119749,1.0,0.95946616,0.8566142,1.0
1,5,5,0,"[[0.055111974477767944, 0.0, 0.018303167074918747, 0.0, 0.022727120667696, 0.019800860434770584], [0.04734038561582565, 0.004907192196696997, 0.06705741584300995, 0.045929718762636185, 0.14356376230716705, 0.0], [0.0, 0.0, 0.0, 0.06923042982816696, 0.027332182973623276, 0.0], [0.0, 0.10398923605680466, 0.0, 0.08753403276205063, 0.0, 0.0076094432733953], [0.07076185941696167, 0.0879361629486084, 0.0, 0.1272018551826477, 0.0, 0.03030141443014145], [0.0, 0.044665008783340454, 0.0, 0.03386177495121956, 0.12841808795928955, 0.0]]",1.718389448011294,21,816.0,816.0,0,0.5542816105519887,0.9247323,0.8578135,1.0,0.981353,0.9403527,0.92542124
1,6,6,0,"[[0.05566757172346115, 0.0, 0.0187697634100914, 0.0, 0.022849544882774353, 0.01996942237019539], [0.04706500843167305, 0.004223755560815334, 0.06762859225273132, 0.04649181291460991, 0.1442292034626007, 0.0], [0.0, 0.0, 0.0, 0.06956839561462402, 0.027226276695728302, 0.0], [0.0, 0.10459544509649277, 0.0, 0.0886322483420372, 0.0, 0.007670831400901079], [0.0712357759475708, 0.08794505894184113, 0.0, 0.12798750400543213, 0.0, 0.030841540545225143], [0.0, 0.04505426436662674, 0.0, 0.03426377847790718, 0.12888385355472565, 0.0]]",1.7282172671984881,21,962.0,962.0,0,0.5822717827328016,0.91476643,0.8646758,0.99198717,0.940405,1.0,0.9307801
1,7,7,0,"[[0.05569468438625336, 0.0, 0.018482275307178497, 0.0, 0.022854860872030258, 0.020084330812096596], [0.04746485501527786, 0.0045531149953603745, 0.06730909645557404, 0.046261657029390335, 0.14456215500831604, 0.0], [0.0, 0.0, 0.0, 0.06935036927461624, 0.027586348354816437, 0.0], [0.0, 0.10520502179861069, 0.0, 0.08874722570180893, 0.0, 0.007910553365945816], [0.07128557562828064, 0.08814236521720886, 0.0, 0.12819072604179382, 0.0, 0.030651796609163284], [0.0, 0.04528792202472687, 0.0, 0.03403645008802414, 0.12909813225269318, 0.0]]",1.7301628394052386,21,1179.0,1179.0,0,0.8662698371605948,0.91696477,0.81901234,1.0,0.98114896,0.9535309,0.9448499
1,8,8,0,"[[0.05602748692035675, 0.0, 0.017899289727211, 0.0, 0.02295534312725067, 0.02047324739396572], [0.04793519899249077, 0.004679820034652948, 0.06696797162294388, 0.046089548617601395, 0.1451670527458191, 0.0], [0.0, 0.0, 0.0, 0.06916798651218414, 0.028012175112962723, 0.0], [0.0, 0.1059613972902298, 0.0, 0.08884158730506897, 0.0, 0.008273806422948837], [0.07131755352020264, 0.08811881393194199, 0.0, 0.12842361629009247, 0.0, 0.030460698530077934], [0.0, 0.045585211366415024, 0.0, 0.034171637147665024, 0.12928833067417145, 0.0]]",1.7336837416514754,21,1449.0,1449.0,0,1.0782663162583486,0.89107966,0.792707,1.0,1.0,0.8954564,1.0
1,9,9,0,"[[0.05576188117265701, 0.0, 0.01833014190196991, 0.0, 0.023046273738145828, 0.02020641416311264], [0.047353800386190414, 0.004621569532901049, 0.06653997302055359, 0.04596145078539848, 0.14445674419403076, 0.0], [0.0, 0.0, 0.0, 0.06852946430444717, 0.027891602367162704, 0.0], [0.0, 0.10559695214033127, 0.0, 0.08902745693922043, 0.0, 0.008429202251136303], [0.07083062827587128, 0.08752387762069702, 0.0, 0.127494677901268, 0.0, 0.0302839707583189], [0.0, 0.04573090374469757, 0.0, 0.03401389345526695, 0.12886938452720642, 0.0]]",1.7256789640523493,21,1644.0,1644.0,0,0.7782743210359476,0.9319015,0.8052383,0.93985873,1.0,0.88723046,0.93897355
