episode,step,rebalance_cost,num_moves
1,0,0.0,0
1,1,0.0,0
1,2,0.0,0
1,3,0.0,0
1,4,0.0,0
1,5,0.0,0
1,6,0.0,0
1,7,0.0,0
1,8,0.0,0
1,9,0.0,0
1,10,48.46124315261841,6
1,11,10.595154762268066,2
1,12,6.61825704574585,1
1,13,0.0,0
1,14,44.868900775909424,4
1,15,0.0,0
1,16,0.0,0
1,17,0.0,0
1,18,63.532578468322754,6
1,19,0.0,0
1,20,11.328551769256592,1
1,21,0.0,0
1,22,34.75236201286316,2
1,23,9.00012493133545,1
1,24,16.25007426738739,2
1,25,12.375043630599976,1
1,26,6.667416095733643,1
1,27,5.323117017745972,1
1,28,0.0,0
1,29,0.0,0
1,30,0.0,0
1,31,11.98530387878418,1
1,32,0.0,0
1,33,15.735714435577393,1
1,34,14.08274221420288,2
1,35,26.637102127075195,2
1,36,13.977587699890137,1
1,37,15.068045854568481,1
1,38,8.962888240814209,1
1,39,40.193477153778076,4
1,40,7.550008773803711,1
1,41,12.503145217895508,1
1,42,15.184396266937256,2
1,43,14.315763473510742,1
1,44,18.32526969909668,2
1,45,0.0,0
1,46,0.0,0
1,47,19.262284755706787,1
1,48,52.142839431762695,4
1,49,14.972912788391113,1
1,50,0.0,0
1,51,12.499824523925781,1
1,52,0.0,0
1,53,0.0,0
1,54,20.812598824501038,2
1,55,13.656488180160522,2
1,56,0.0,0
1,57,13.011655807495117,1
1,58,0.0,0
1,59,0.0,0
1,60,15.376296043395996,2
1,61,11.802475214004517,2
1,62,0.0,0
1,63,6.430803298950195,1
1,64,31.944034814834595,2
1,65,0.0,0
1,66,19.69767141342163,2
1,67,37.38333439826965,3
1,68,47.60899245738983,4
1,69,5.2347636222839355,1
1,70,0.0,0
1,71,34.3084454536438,2
1,72,0.0,0
1,73,29.4127516746521,3
1,74,0.0,0
1,75,0.0,0
1,76,13.196379661560059,1
1,77,9.467456817626953,1
1,78,15.369114875793457,2
1,79,17.023417472839355,2
1,80,0.0,0
1,81,6.093553066253662,1
1,82,0.0,0
1,83,77.57365679740906,6
1,84,20.812270879745483,3
1,85,18.201343536376953,1
1,86,20.092552185058594,1
1,87,22.602394580841064,2
1,88,29.158725261688232,3
1,89,24.549562692642212,2
1,90,0.0,0
1,91,19.161953330039978,2
1,92,13.210422992706299,1
1,93,8.87989068031311,1
1,94,0.0,0
1,95,10.657143115997314,1
1,96,0.0,0
1,97,0.0,0
1,98,28.4442298412323,2
1,99,0.0,0
1,100,0.0,0
1,101,30.365618228912354,4
1,102,0.0,0
1,103,3.219649076461792,1
1,104,4.343647480010986,1
1,105,14.721366167068481,1
1,106,0.0,0
1,107,11.52468204498291,1
1,108,15.48208475112915,1
1,109,21.91286325454712,2
1,110,18.044400215148926,2
1,111,6.771080017089844,1
1,112,38.1097137928009,4
1,113,35.47402858734131,4
1,114,17.517984867095947,1
1,115,34.47630763053894,4
1,116,6.739051580429077,1
1,117,46.50707817077637,4
1,118,13.823996543884277,1
1,119,0.0,0
1,120,9.139456748962402,1
1,121,0.0,0
1,122,0.0,0
1,123,0.0,0
1,124,13.138977527618408,1
1,125,0.0,0
1,126,0.0,0
1,127,23.158519506454468,2
1,128,27.09832763671875,4
1,129,9.946141719818115,1
1,130,0.0,0
1,131,25.792293548583984,2
1,132,0.0,0
1,133,28.084290266036987,3
1,134,22.561376571655273,2
1,135,6.474380970001221,1
1,136,21.802194595336914,2
1,137,0.0,0
1,138,31.125718116760254,2
1,139,5.180185317993164,1
1,140,25.02403497695923,1
1,141,0.0,0
1,142,57.98452425003052,4
1,143,46.8251371383667,4
1,144,6.968569278717041,1
1,145,8.334759712219238,1
1,146,31.037353515625,2
1,147,9.146890640258789,2
1,148,0.0,0
1,149,10.803383588790894,1
1,150,0.0,0
1,151,0.0,0
1,152,74.84573972225189,8
1,153,0.0,0
1,154,22.327197790145874,2
1,155,0.0,0
1,156,0.0,0
1,157,12.728948593139648,1
1,158,0.0,0
1,159,47.98359036445618,5
1,160,9.088569641113281,1
1,161,25.242406845092773,3
1,162,3.656582832336426,1
1,163,12.023769617080688,2
1,164,28.203963041305542,2
1,165,0.0,0
1,166,26.952506065368652,2
1,167,0.0,0
2,0,0.0,0
2,1,0.0,0
2,2,0.0,0
2,3,0.0,0
2,4,0.0,0
2,5,0.0,0
2,6,0.0,0
2,7,0.0,0
2,8,0.0,0
2,9,0.0,0
2,10,0.0,0
2,11,0.0,0
2,12,41.10019439458847,6
2,13,0.0,0
2,14,0.0,0
2,15,0.0,0
2,16,0.0,0
2,17,14.363761186599731,2
2,18,0.0,0
2,19,0.0,0
2,20,29.434391021728516,2
2,21,0.0,0
2,22,26.945250034332275,2
2,23,19.410197257995605,2
2,24,10.332220077514648,1
2,25,0.0,0
2,26,30.338324069976807,2
2,27,0.0,0
2,28,0.0,0
2,29,0.0,0
2,30,8.52938175201416,1
2,31,0.0,0
2,32,24.000017642974854,1
2,33,0.0,0
2,34,33.41322112083435,2
2,35,9.40701699256897,1
2,36,21.750988721847534,2
2,37,0.0,0
2,38,23.646151542663574,2
2,39,0.0,0
2,40,54.3267617225647,4
2,41,0.0,0
2,42,12.018815994262695,1
2,43,0.0,0
2,44,14.106050968170166,2
2,45,30.78014373779297,2
2,46,0.0,0
2,47,23.308391571044922,2
2,48,18.01622486114502,2
2,49,0.0,0
2,50,19.955827474594116,2
2,51,23.720311641693115,2
2,52,0.0,0
2,53,0.0,0
2,54,19.852713346481323,1
2,55,32.745938539505005,2
2,56,0.0,0
2,57,33.757322788238525,4
