policy,scenario,episode,total_reward,total_served,total_demand,total_cost,service_rate,net_profit
PPO,default,0,130.0010641111012,33103.407594762204,33153.0,2313.3814574719872,0.9985041352143759,130100.24892157683
PPO,default,1,128.2181083109438,32784.57638651014,33006.0,2477.350008117035,0.9932914132736514,128660.95553792352
PPO,default,2,128.88261812260777,32874.7962154721,33036.0,2294.159170224797,0.9951203600760413,129205.02569166361
PPO,default,3,128.94250129986375,32834.04734063111,32872.0,2317.7827439229004,0.9988454411240906,129018.40661860153
PPO,default,4,130.01301821411883,33077.240346728926,33125.0,2200.423866254743,0.9985581991465337,130108.53752066096
PPO,default,5,129.27370292043958,32954.983473110624,33054.0,2348.197918224265,0.9970044010743215,129471.73597421823
PPO,default,6,131.59099638580722,33439.059087964284,33476.0,2091.358141978504,0.9988964956375996,131664.87820987863
PPO,default,7,128.98742887227013,32815.32956546465,32839.0,2226.548520517652,0.9992791974623055,129034.76974134095
PPO,default,8,128.47262091024345,32622.59037279226,32727.0,1808.9213265101425,0.9968096792493127,128681.4401646589
PPO,default,9,128.95856544540186,32775.07046691956,32780.0,2131.857356115477,0.9998496176607554,128968.42451156277
PPO,sunny_weekday,0,130.0010641111012,33103.407594762204,33153.0,2313.3814574719872,0.9985041352143759,130100.24892157683
PPO,sunny_weekday,1,128.2181083109438,32784.57638651014,33006.0,2477.350008117035,0.9932914132736514,128660.95553792352
PPO,sunny_weekday,2,128.88261812260777,32874.7962154721,33036.0,2294.159170224797,0.9951203600760413,129205.02569166361
PPO,sunny_weekday,3,128.94250129986375,32834.04734063111,32872.0,2317.7827439229004,0.9988454411240906,129018.40661860153
PPO,sunny_weekday,4,130.01301821411883,33077.240346728926,33125.0,2200.423866254743,0.9985581991465337,130108.53752066096
PPO,sunny_weekday,5,129.27370292043958,32954.983473110624,33054.0,2348.197918224265,0.9970044010743215,129471.73597421823
PPO,sunny_weekday,6,131.59099638580722,33439.059087964284,33476.0,2091.358141978504,0.9988964956375996,131664.87820987863
PPO,sunny_weekday,7,128.98742887227013,32815.32956546465,32839.0,2226.548520517652,0.9992791974623055,129034.76974134095
PPO,sunny_weekday,8,128.47262091024345,32622.59037279226,32727.0,1808.9213265101425,0.9968096792493127,128681.4401646589
PPO,sunny_weekday,9,128.95856544540186,32775.07046691956,32780.0,2131.857356115477,0.9998496176607554,128968.42451156277
PPO,rainy_weekend,0,113.6222416245588,29119.39753776362,29452.0,2190.143602022901,0.9887069651556302,114287.44654903158
PPO,rainy_weekend,1,115.43915509634685,29475.283189630198,29597.0,2218.544041434303,0.9958875287911003,115682.58871708649
PPO,rainy_weekend,2,115.12299749753102,29499.163916435627,29713.0,2445.986001082696,0.9928032819451293,115550.66966465981
PPO,rainy_weekend,3,114.29970171875867,29226.328816603764,29481.0,2096.271180863958,0.9913615147587858,114809.0440855511
PPO,rainy_weekend,4,114.63609554425301,29278.645814442883,29515.0,2005.7793424043339,0.991992065541009,115108.8039153672
PPO,rainy_weekend,5,114.72323978736058,29334.051541381235,29579.0,2123.0694609268103,0.9917188390879081,115213.13670459813
PPO,rainy_weekend,6,114.41056740192718,29217.023550334092,29474.0,1943.5739000773756,0.9912812495872325,114924.52030125899
PPO,rainy_weekend,7,114.01475801272355,29115.583618510736,29271.0,2136.7436983408406,0.9946904314342092,114325.5907757021
PPO,rainy_weekend,8,113.80055513260274,29149.159756327655,29408.0,2278.403405363206,0.9911983050981928,114318.23561994742
PPO,rainy_weekend,9,114.25268193150977,29178.824175660673,29312.0,2196.2631224542856,0.9954566107962839,114519.0335801884
PPO,summer_peak,0,131.8108127784032,33666.998782831666,33904.0,2383.179918586742,0.9930096384742705,132284.81521273992
