episode,seed,total_reward,service_rate,total_demand,served_demand,unmet_demand,total_revenue,rebalance_cost,net_profit,steps
1,42,20492.270477123715,0.8835336574308807,33529,29624,4394,92241.065017697,0.0,92241.065017697,168
2,43,22175.74702955422,0.8923387339637415,33206,29631,3987,90111.59312955734,0.0,90111.59312955734,168
3,44,20707.98599256642,0.9187736763280768,34053,31287,4143,93396.63365441447,0.0,93396.63365441447,168
4,45,20169.63220922351,0.8693603861383277,34599,30079,3937,93248.3474719156,0.0,93248.3474719156,168
5,46,20110.14239621526,0.9328819455228748,32197,30036,4118,91584.00805320546,0.0,91584.00805320546,168
