episode,seed,total_reward,service_rate,total_demand,served_demand,unmet_demand,total_revenue,rebalance_cost,net_profit,steps
1,42,20492.270477123715,0.8835336574308807,33529,29624,4394,92241.065017697,18589.076203346252,73651.98881435074,168
2,43,22175.74702955422,0.8923387339637415,33206,29631,3987,90111.59312955734,8109.156036257744,82002.4370932996,168
3,44,20707.98599256642,0.9187736763280768,34053,31287,4143,93396.63365441447,14805.157181560993,78591.47647285348,168
4,45,20169.63220922351,0.8693603861383277,34599,30079,3937,93248.3474719156,17834.999534368515,75413.34793754708,168
5,46,20110.14239621526,0.9328819455228748,32197,30036,4118,91584.00805320546,10910.096677482128,80673.91137572333,168
